latitude,longitude,state_name,district,taluka_name,sowing_period,year,crop_name,ndvi_capture_period,ndvi_value,location,ndvi_capture_date,interval_range,sowing_year,sowing_date,harvest_year,harvest_period
24.2207724999999,75.0601455999999,Madhya Pradesh,MANDSAUR,,nov_1f,,Mustard,jan_1f,166.0,,,,2022,,2023,mar_1f
26.00218955,77.6561807599999,Madhya Pradesh,MORENA,,oct_2f,,Mustard,jan_1f,180.0,,,,2022,,2023,mar_1f
25.3148127,77.5774341799999,Madhya Pradesh,SHIVPURI,,oct_2f,,Mustard,jan_1f,187.0,,,,2022,,2023,mar_1f
23.6761830999999,75.4964461999999,Madhya Pradesh,RATLAM,,nov_1f,,Mustard,jan_1f,191.0,,,,2022,,2023,mar_1f
24.9468092,77.6651413,Madhya Pradesh,SHIVPURI,,oct_2f,,Mustard,jan_1f,180.0,,,,2022,,2023,mar_1f
23.7931756999999,76.1751754999999,Madhya Pradesh,AGAR-MALWA,,nov_1f,,Mustard,jan_1f,185.0,,,,2022,,2023,mar_1f
26.1322893,78.7763910999999,Madhya Pradesh,DATIA,,nov_1f,,Mustard,jan_1f,182.0,,,,2022,,2023,mar_1f
24.0987832,77.2475849,Madhya Pradesh,GUNA,,oct_2f,,Mustard,jan_1f,190.0,,,,2022,,2023,mar_1f
26.3494667,78.20936763,Madhya Pradesh,MORENA,,nov_1f,,Mustard,jan_1f,162.0,,,,2022,,2023,mar_1f
25.0525373,79.1051810999999,Madhya Pradesh,TIKAMGARH,,nov_2f,,Mustard,jan_1f,174.0,,,,2022,,2023,mar_1f
26.4029867,78.21452322,Madhya Pradesh,MORENA,,nov_1f,,Mustard,jan_1f,171.0,,,,2022,,2023,mar_1f
24.3363583,75.0229293,Madhya Pradesh,MANDSAUR,,nov_1f,,Mustard,jan_1f,171.0,,,,2022,,2023,mar_1f
24.6387828,78.9589794,Madhya Pradesh,TIKAMGARH,,nov_2f,,Mustard,jan_1f,174.0,,,,2022,,2023,mar_1f
25.09875419,77.96985671,Madhya Pradesh,SHIVPURI,,oct_2f,,Mustard,jan_1f,186.0,,,,2022,,2023,mar_1f
24.1499765999999,77.2190145999999,Madhya Pradesh,GUNA,,nov_1f,,Mustard,jan_1f,181.0,,,,2022,,2023,mar_1f
24.0133167999999,75.7487859,Madhya Pradesh,MANDSAUR,,nov_1f,,Mustard,jan_1f,181.0,,,,2022,,2023,mar_1f
24.7689254,76.9882264999999,Madhya Pradesh,GUNA,,oct_2f,,Mustard,jan_1f,189.0,,,,2022,,2023,mar_1f
23.86128688,76.5204881899999,Madhya Pradesh,RAJGARH,,nov_1f,,Mustard,jan_1f,188.0,,,,2022,,2023,mar_1f
24.6174778,74.9428278,Madhya Pradesh,NIMACH,,oct_2f,,Mustard,jan_1f,186.0,,,,2022,,2023,mar_1f
26.4293155,78.5245850999999,Madhya Pradesh,BHIND,,oct_2f,,Mustard,jan_1f,172.0,,,,2022,,2023,mar_1f
26.32710111,77.78235198,Madhya Pradesh,MORENA,,nov_1f,,Mustard,jan_1f,176.0,,,,2022,,2023,mar_1f
26.1187858,78.7857378,Madhya Pradesh,DATIA,,nov_1f,,Mustard,jan_1f,167.0,,,,2022,,2023,mar_1f
26.33544723,77.7377551999999,Madhya Pradesh,MORENA,,nov_1f,,Mustard,jan_1f,180.0,,,,2022,,2023,mar_1f
26.3143381,78.8211162,Madhya Pradesh,BHIND,,nov_1f,,Mustard,jan_1f,163.0,,,,2022,,2023,mar_1f
26.1187681,78.7857331,Madhya Pradesh,DATIA,,nov_1f,,Mustard,jan_1f,167.0,,,,2022,,2023,mar_1f
26.1187736999999,78.7857156999999,Madhya Pradesh,DATIA,,nov_1f,,Mustard,jan_1f,167.0,,,,2022,,2023,mar_1f
24.647794,79.5995980999999,Madhya Pradesh,CHHATARPUR,,nov_1f,,Mustard,jan_1f,183.0,,,,2022,,2023,mar_1f
26.3151414,78.5859544,Madhya Pradesh,BHIND,,nov_1f,,Mustard,jan_1f,167.0,,,,2022,,2023,mar_1f
24.7614091,77.1546357,Madhya Pradesh,GUNA,,nov_1f,,Mustard,jan_1f,186.0,,,,2022,,2023,mar_2f
24.5223051,77.9710776999999,Madhya Pradesh,ASHOKNAGAR,,oct_2f,,Mustard,jan_1f,180.0,,,,2022,,2023,mar_1f
24.3458323999999,77.7073445999999,Madhya Pradesh,ASHOKNAGAR,,oct_2f,,Mustard,jan_1f,187.0,,,,2022,,2023,mar_1f
24.9742302999999,75.2748736,Madhya Pradesh,NIMACH,,oct_2f,,Mustard,jan_1f,186.0,,,,2022,,2023,mar_1f
26.49069881,78.0355035799999,Madhya Pradesh,MORENA,,nov_1f,,Mustard,jan_1f,179.0,,,,2022,,2023,mar_1f
26.41109685,78.02623128,Madhya Pradesh,MORENA,,nov_1f,,Mustard,jan_1f,170.0,,,,2022,,2023,mar_1f
25.1617226999999,79.9876854,Madhya Pradesh,CHHATARPUR,,nov_1f,,Mustard,jan_1f,177.0,,,,2022,,2023,mar_1f
26.4647577,78.5278725,Madhya Pradesh,BHIND,,nov_1f,,Mustard,jan_1f,171.0,,,,2022,,2023,mar_1f
24.6437385,78.7752301999999,Madhya Pradesh,TIKAMGARH,,nov_1f,,Mustard,jan_1f,166.0,,,,2022,,2023,mar_1f
25.0393955999999,79.2704808999999,Madhya Pradesh,TIKAMGARH,,nov_1f,,Mustard,jan_1f,176.0,,,,2022,,2023,mar_1f
26.608001,78.6765089999999,Madhya Pradesh,BHIND,,oct_2f,,Mustard,jan_1f,184.0,,,,2022,,2023,mar_1f
26.1856900999999,78.589415,Madhya Pradesh,GWALIOR,,nov_1f,,Mustard,jan_1f,164.0,,,,2022,,2023,mar_1f
24.957822,79.3072557999999,Madhya Pradesh,TIKAMGARH,,nov_1f,,Mustard,jan_1f,178.0,,,,2022,,2023,mar_1f
26.42725334,77.93608054,Madhya Pradesh,MORENA,,nov_1f,,Mustard,jan_1f,177.0,,,,2022,,2023,mar_1f
24.87738088,77.52459708,Madhya Pradesh,SHIVPURI,,nov_1f,,Mustard,jan_1f,181.0,,,,2022,,2023,mar_1f
23.87293206,76.47170853,Madhya Pradesh,RAJGARH,,nov_1f,,Mustard,jan_1f,193.0,,,,2022,,2023,mar_1f
23.5210672,75.5591653999999,Madhya Pradesh,UJJAIN,,nov_1f,,Mustard,jan_1f,192.0,,,,2022,,2023,mar_1f
24.7525283,76.9994906,Madhya Pradesh,GUNA,,oct_2f,,Mustard,jan_1f,186.0,,,,2022,,2023,mar_1f
24.6279885999999,74.8331122,Madhya Pradesh,NIMACH,,nov_1f,,Mustard,jan_1f,190.0,,,,2022,,2023,mar_1f
24.0245023,76.9395408,Madhya Pradesh,RAJGARH,,nov_1f,,Mustard,jan_1f,184.0,,,,2022,,2023,mar_1f
24.0366934999999,75.1736812999999,Madhya Pradesh,MANDSAUR,,nov_1f,,Mustard,jan_1f,182.0,,,,2022,,2023,mar_1f
26.6253795599999,78.1396494499999,Madhya Pradesh,MORENA,,nov_1f,,Mustard,jan_1f,176.0,,,,2022,,2023,mar_1f
26.1336115999999,78.8264434,Madhya Pradesh,BHIND,,nov_1f,,Mustard,jan_1f,172.0,,,,2022,,2023,mar_1f
24.9193925,77.7061678999999,Madhya Pradesh,SHIVPURI,,oct_2f,,Mustard,jan_1f,179.0,,,,2022,,2023,mar_1f
24.3611992,74.9620115999999,Madhya Pradesh,NIMACH,,nov_1f,,Mustard,jan_1f,175.0,,,,2022,,2023,mar_1f
23.7575004499999,75.91536172,Madhya Pradesh,AGAR-MALWA,,nov_1f,,Mustard,jan_1f,196.0,,,,2022,,2023,mar_1f
24.4879178,78.0451184,Madhya Pradesh,ASHOKNAGAR,,oct_2f,,Mustard,jan_1f,181.0,,,,2022,,2023,mar_1f
